"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 00:22:52 MSK 2024","Thu May 30 00:23:14 MSK 2024","21305","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromRegistrationForm[Браузер: chrome]","Вход через кнопку в форме регистрации",""
"passed","Thu May 30 00:24:47 MSK 2024","Thu May 30 00:25:03 MSK 2024","16883","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testRegistrationOfExistingUser[Браузер: chrome]","Регистрация существующего пользователя",""
"passed","Thu May 30 00:23:55 MSK 2024","Thu May 30 00:24:16 MSK 2024","21361","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromPasswordRecoveryForm[Браузер: firefox]","Вход через кнопку в форме восстановления пароля",""
"passed","Thu May 30 00:27:55 MSK 2024","Thu May 30 00:28:02 MSK 2024","7243","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testProfileLinkNavigation[Браузер: firefox]","Проверка перехода по клику на «Личный кабинет»",""
"passed","Thu May 30 00:26:51 MSK 2024","Thu May 30 00:27:14 MSK 2024","22905","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testProfileLinkNavigation[Браузер: chrome]","Проверка перехода по клику на «Личный кабинет»",""
"passed","Thu May 30 00:24:24 MSK 2024","Thu May 30 00:24:32 MSK 2024","7622","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromProfileLink[Браузер: firefox]","Вход через кнопку «Личный кабинет»",""
"passed","Thu May 30 00:24:16 MSK 2024","Thu May 30 00:24:24 MSK 2024","8362","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromRegistrationForm[Браузер: firefox]","Вход через кнопку в форме регистрации",""
"passed","Thu May 30 00:23:14 MSK 2024","Thu May 30 00:23:34 MSK 2024","20522","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromProfileLink[Браузер: chrome]","Вход через кнопку «Личный кабинет»",""
"passed","Thu May 30 00:22:00 MSK 2024","Thu May 30 00:22:13 MSK 2024","12560","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavBuns[Браузер: chrome]","Проверка работы вкладки Булки в разделе с ингредиентами",""
"passed","Thu May 30 00:26:27 MSK 2024","Thu May 30 00:26:51 MSK 2024","24483","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testConstructorLinkNavigation[Браузер: chrome]","Проверка перехода из личного кабинета по клику на «Конструктор»",""
"passed","Thu May 30 00:24:32 MSK 2024","Thu May 30 00:24:40 MSK 2024","8298","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromMainPage[Браузер: firefox]","Вход через кнопку на главной странице",""
"passed","Thu May 30 00:22:32 MSK 2024","Thu May 30 00:22:39 MSK 2024","7108","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavBuns[Браузер: firefox]","Проверка работы вкладки Булки в разделе с ингредиентами",""
"passed","Thu May 30 00:22:24 MSK 2024","Thu May 30 00:22:32 MSK 2024","7816","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavFillings[Браузер: firefox]","Проверка работы вкладки Начинки в разделе с ингредиентами",""
"passed","Thu May 30 00:25:20 MSK 2024","Thu May 30 00:25:37 MSK 2024","17057","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testSuccessfulRegistration[Браузер: firefox]","Успешная регистрация",""
"passed","Thu May 30 00:22:13 MSK 2024","Thu May 30 00:22:24 MSK 2024","11079","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavToppings[Браузер: firefox]","Проверка работы вкладки Соусы в разделе с ингредиентами",""
"passed","Thu May 30 00:25:03 MSK 2024","Thu May 30 00:25:20 MSK 2024","16784","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testRegistrationWithShortPassword[Браузер: chrome]","Регистрация с коротким паролем",""
"passed","Thu May 30 00:21:34 MSK 2024","Thu May 30 00:21:49 MSK 2024","14702","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavToppings[Браузер: chrome]","Проверка работы вкладки Соусы в разделе с ингредиентами",""
"passed","Thu May 30 00:27:46 MSK 2024","Thu May 30 00:27:55 MSK 2024","9157","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testConstructorLinkNavigation[Браузер: firefox]","Проверка перехода из личного кабинета по клику на «Конструктор»",""
"passed","Thu May 30 00:25:55 MSK 2024","Thu May 30 00:26:02 MSK 2024","7610","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testLogoLinkNavigation[Браузер: chrome]","Проверка перехода из личного кабинета по клику на логотип Stellar Burgers",""
"passed","Thu May 30 00:27:37 MSK 2024","Thu May 30 00:27:46 MSK 2024","8373","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testLogoutLinkNavigation[Браузер: firefox]","Проверка выхода из личного кабинета по клику на кнопку Выйти",""
"passed","Thu May 30 00:22:39 MSK 2024","Thu May 30 00:22:52 MSK 2024","13396","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromPasswordRecoveryForm[Браузер: chrome]","Вход через кнопку в форме восстановления пароля",""
"passed","Thu May 30 00:21:49 MSK 2024","Thu May 30 00:22:00 MSK 2024","11076","","Тесты Главной Страницы","","tests.HomePageValidationTests","testNavFillings[Браузер: chrome]","Проверка работы вкладки Начинки в разделе с ингредиентами",""
"passed","Thu May 30 00:25:46 MSK 2024","Thu May 30 00:25:54 MSK 2024","8019","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testRegistrationWithShortPassword[Браузер: firefox]","Регистрация с коротким паролем",""
"passed","Thu May 30 00:27:14 MSK 2024","Thu May 30 00:27:37 MSK 2024","23214","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testLogoLinkNavigation[Браузер: firefox]","Проверка перехода из личного кабинета по клику на логотип Stellar Burgers",""
"passed","Thu May 30 00:23:34 MSK 2024","Thu May 30 00:23:55 MSK 2024","20351","","Тесты Авторизации Пользователя","","tests.UserAuthorizationTests","testAuthorizationFromMainPage[Браузер: chrome]","Вход через кнопку на главной странице",""
"passed","Thu May 30 00:24:40 MSK 2024","Thu May 30 00:24:46 MSK 2024","6179","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testSuccessfulRegistration[Браузер: chrome]","Успешная регистрация",""
"passed","Thu May 30 00:25:37 MSK 2024","Thu May 30 00:25:46 MSK 2024","9169","","Тесты Регистрации Пользователя","","tests.UserRegistrationTests","testRegistrationOfExistingUser[Браузер: firefox]","Регистрация существующего пользователя",""
"passed","Thu May 30 00:26:02 MSK 2024","Thu May 30 00:26:27 MSK 2024","24439","","Тесты Личного Кабинета Пользователя","","tests.UserProfilePageTests","testLogoutLinkNavigation[Браузер: chrome]","Проверка выхода из личного кабинета по клику на кнопку Выйти",""
